cod;UF;populacao
2105989;MA;7653
2106003;MA;11943
2106102;MA;12271
2106201;MA;7016
2106300;MA;20228
2106326;MA;21773
2106359;MA;7757
2106375;MA;16754
2106409;MA;17122
2106508;MA;23591
2106607;MA;34099
2106631;MA;17316
2106672;MA;8502
2106706;MA;21045
2106755;MA;29121
2106805;MA;15059
2106904;MA;33888
2107001;MA;9064
2107100;MA;19708
2107209;MA;14826
2107258;MA;5469
2107308;MA;4682
2107357;MA;21228
2107407;MA;19616
2107456;MA;14968
2107506;MA;125265
2107605;MA;19840
2107704;MA;21571
2107803;MA;35108
2107902;MA;19253
2108009;MA;19693
2108058;MA;16295
2108108;MA;21092
2108207;MA;39153
2108256;MA;25560
2108306;MA;38987
2108405;MA;14371
2108454;MA;23530
2108504;MA;33186
2108603;MA;84160
2108702;MA;21274
2108801;MA;18814
2108900;MA;17321
2109007;MA;24294
2109056;MA;5936
2109106;MA;48264
2109205;MA;12939
2109239;MA;7124
2109270;MA;19217
2109304;MA;11328
2109403;MA;15545
2109452;MA;31586
2109502;MA;20288
2109551;MA;7859
2109601;MA;43243
2109700;MA;5686
2109759;MA;7878
2109809;MA;42829
2109908;MA;89927
2110005;MA;73105
2110039;MA;25487
2110104;MA;25884
2110203;MA;38732
2110237;MA;13704
2110278;MA;16219
2110302;MA;14516
2110401;MA;18769
2110500;MA;45989
2110609;MA;28825
2110658;MA;7448
2110708;MA;34391
2110807;MA;4540
2110856;MA;12082
2110906;MA;12226
2111003;MA;20736
2111029;MA;15768
2111052;MA;11207
2111078;MA;18746
2111102;MA;26063
2111201;MA;180345
2111250;MA;7639
2111300;MA;1115932
2111409;MA;18600
2111508;MA;41750
2111532;MA;12779
2111573;MA;4700
2111607;MA;19090
2111631;MA;5028
2111672;MA;6856
2111706;MA;22452
2111722;MA;14274
2111748;MA;11285
2111763;MA;13981
2111789;MA;10343
2111805;MA;18237
2111904;MA;10631
2111953;MA;5692
2112001;MA;8642
2112100;MA;29241
2112209;MA;171317
2112233;MA;22223
2112274;MA;5868
2112308;MA;42242
2112407;MA;35811
2112456;MA;26112
2112506;MA;59927
2112605;MA;33791
2112704;MA;57813
2112803;MA;52852
2112852;MA;13800
2112902;MA;32956
2113009;MA;31520
2114007;MA;52190
2200053;PI;7119
2200103;PI;5123
2200202;PI;17525
2200251;PI;7678
2200277;PI;4921
2200301;PI;14371
2200400;PI;40681
2200459;PI;5469
2200509;PI;17609
2200608;PI;6779
2200707;PI;9994
2200806;PI;3175
2200905;PI;5819
2200954;PI;2551
2201002;PI;4713
2201051;PI;7879
2201101;PI;11361
2201150;PI;11751
2201176;PI;3953
2201200;PI;47298
2201309;PI;3356
2201408;PI;7022
2201507;PI;26951
2201556;PI;4044
2201572;PI;3607
2201606;PI;10479
2201705;PI;5512
2201739;PI;6214
2201770;PI;6848
2201804;PI;4509
2201903;PI;25584
2201919;PI;5670
2201929;PI;5700
2201945;PI;6443
2201960;PI;8364
2201988;PI;3824
2202000;PI;19832
2202026;PI;8282
2202059;PI;10671
2202075;PI;3586
2202083;PI;7704
2202091;PI;5786
2202109;PI;5628
2202117;PI;5093
2202133;PI;5987
2202174;PI;7342
2202208;PI;46950
2202251;PI;3938
2202307;PI;21326
2202406;PI;11471
2202455;PI;4127
2202505;PI;11009
2202539;PI;5910
2202554;PI;5102
2202604;PI;19716
2202653;PI;5477
2202703;PI;27901
2202711;PI;4908
2202729;PI;6180
2202737;PI;4044
2202752;PI;6545
2202778;PI;7665
2202802;PI;4811
2202851;PI;4688
2202901;PI;26771
2203008;PI;8350
2203107;PI;10464
2203206;PI;11461
2203230;PI;4982
2203255;PI;4475
2203271;PI;5390
2203305;PI;13862
2203354;PI;7046
2203404;PI;6940
2203420;PI;4352
2203453;PI;9574
2203503;PI;14550
2203602;PI;4943
2203701;PI;39953
2203750;PI;5330
2203800;PI;4461
2203859;PI;2561
2203909;PI;60111
2204006;PI;5345
2204105;PI;4300
2204154;PI;3216
2204204;PI;9423
2204303;PI;11690
2204352;PI;5477
2204402;PI;10698
2204501;PI;10496
2204550;PI;4573
2204600;PI;3880
2204659;PI;9487
2204709;PI;15330
2204808;PI;9863
2204907;PI;8582
2205003;PI;11571
2205102;PI;11037
2205151;PI;5718
2205201;PI;19233
2205250;PI;4522
2205276;PI;4885
2205300;PI;4443
2205359;PI;3003
2205409;PI;14396
2205458;PI;5488
2205508;PI;39457
2205516;PI;5491
2205524;PI;5653
2205532;PI;4790
2205540;PI;2870
2205557;PI;8610
2205565;PI;4658
2205573;PI;6795
2205581;PI;4086
2205599;PI;5219
2205607;PI;5272
2205706;PI;30558
2205805;PI;25521
2205854;PI;8372
2205904;PI;5352
2205953;PI;8590
2206001;PI;4546
2206050;PI;6456
2206100;PI;10979
2206209;PI;33901
2206308;PI;1239
2206357;PI;6603
2206407;PI;10563
2206506;PI;7785
2206605;PI;10618
2206654;PI;4527
2206670;PI;6825
2206696;PI;9258
2206704;PI;7307
2206720;PI;8632
2206753;PI;4911
2206803;PI;8751
2206902;PI;6548
2206951;PI;3014
2207009;PI;37138
2207108;PI;2477
2207207;PI;6879
2207306;PI;4124
2207355;PI;3416
2207405;PI;5029
2207504;PI;14633
2207553;PI;3931
2207603;PI;10846
2207702;PI;153863
2207751;PI;4331
2207777;PI;6420
2207793;PI;4084
2207801;PI;20583
2207850;PI;3662
2207900;PI;38812
2207934;PI;2551
2207959;PI;4392
2208007;PI;78627
2208106;PI;12150
2208205;PI;18492
2208304;PI;28952
2208403;PI;63829
2208502;PI;12646
2208551;PI;2728
2208601;PI;3149
2208650;PI;9041
2208700;PI;8814
2208809;PI;17979
2208858;PI;4306
2208874;PI;4499
2208908;PI;7408
2209005;PI;6434
2209104;PI;6254
2209153;PI;4046
2209203;PI;6256
2209302;PI;5903
2209351;PI;4650
2209377;PI;5254
2209401;PI;6466
2209450;PI;2172
2209500;PI;3809
2209559;PI;4454
2209609;PI;2923
2209658;PI;5801
2209708;PI;6417
2209757;PI;3071
2209807;PI;5044
2209856;PI;4619
2209872;PI;6084
2209906;PI;6106
2209955;PI;4856
2209971;PI;8085
2210003;PI;20720
2210052;PI;5361
2210102;PI;3737
2210201;PI;6696
2210300;PI;6379
2210359;PI;4581
2210375;PI;2648
2210383;PI;2456
2210391;PI;3037
2210409;PI;17617
2210508;PI;14356
2210607;PI;35035
2210623;PI;3434
2210631;PI;4311
2210656;PI;10074
2210706;PI;14664
2210805;PI;12778
2210904;PI;4557
2210938;PI;6801
2210953;PI;2939
2210979;PI;2781
2211001;PI;871126
2211100;PI;44649
2211209;PI;21746
2211308;PI;20940
2211357;PI;4930
2211407;PI;4382
2211506;PI;3082
2211605;PI;2935
2211704;PI;4479
2300101;CE;11965
2300150;CE;15140
2300200;CE;63556
2300309;CE;54687
2300408;CE;17584
2300507;CE;11846
2300606;CE;7712
2300705;CE;16077
2300754;CE;44195
2300804;CE;7402
2300903;CE;14742
2301000;CE;81581
2301109;CE;75392
2301208;CE;26600
2301257;CE;10983
2301307;CE;21707
2301406;CE;11759
2301505;CE;7848
2301604;CE;23537
2301703;CE;24567
2301802;CE;6318
2301851;CE;18313
2301901;CE;61662
2301950;CE;22715
2302008;CE;22834
2302057;CE;15069
2302107;CE;36127
2302206;CE;54315
2302305;CE;32851
2302404;CE;54680
2302503;CE;50195
2302602;CE;64147
2302701;CE;27513
2302800;CE;77484
2302909;CE;17830
2303006;CE;23011
2303105;CE;18470
2303204;CE;27008
2303303;CE;18700
2303402;CE;17763
2303501;CE;72706
2303600;CE;21041
2303659;CE;10410
2303709;CE;368918
2303808;CE;25612
2303907;CE;13112
2303931;CE;13608
2303956;CE;20286
2304004;CE;23340
2304103;CE;75241
2304202;CE;133913
2304236;CE;18201
2304251;CE;25121
2304269;CE;9698
2304277;CE;7254
2304285;CE;55035
2304301;CE;19330
2304350;CE;24680
2304400;CE;2703391
2304459;CE;16776
2304509;CE;14195
2304608;CE;7767
2304657;CE;14415
2304707;CE;55170
2304806;CE;4784
2304905;CE;11219
2304954;CE;26508
2305001;CE;40921
2305100;CE;5073
